request_date,request_timestamp,warehouse_zone,aisle_number,shelf_level,distance_from_dock_meters,storage_type,active_retrievals_count,dock_queue_length,aisle_traffic_level,shift_hour,day_of_week,num_packages,total_weight_kg,requires_forklift,fragile_handling,num_aisles_to_visit,special_equipment_needed,operator_experience_years,operator_shift_fatigue,retrieval_time_minutes
2025-07-28,2025-07-28 08:40:39,Zone_B,37,Floor,240.4,cold_storage,30,23.0,Low,8,Monday,2,28.5,False,False,2,cold_gear,1.4,7.5,200.41
2025-10-16,2025-10-16 07:02:04,Zone_D,32,Floor,438.0,bulk_floor,3,4.0,Low,7,Thursday,8,241.9,False,False,1,none,6.1,4.2,63.0
2025-10-23,2025-10-23 10:23:16,Zone_A,34,Floor,64.4,bulk_floor,8,0.0,High,10,Thursday,47,284.8,False,False,1,none,4.7,7.7,47.89
2025-11-21,2025-11-21 09:52:11,Zone_C,32,Floor,320.3,cold_storage,25,7.0,Medium,9,Friday,35,172.6,True,False,3,cold_gear,7.4,9.4,193.45
2025-06-13,2025-06-13 01:59:19,Zone_C,33,Mid,339.8,bulk_floor,1,0.0,Low,1,Friday,8,227.0,False,True,2,none,7.5,3.8,69.95
2025-08-29,2025-08-29 19:50:40,Zone_B,27,High,192.0,bulk_floor,16,9.0,Medium,19,Friday,61,29.9,True,True,7,none,0.3,1.9,192.66
2025-01-30,2025-01-30 07:29:07,Zone_A,10,Mid,53.6,bulk_floor,19,10.0,Medium,7,Thursday,2,437.1,False,False,3,none,18.1,6.6,69.46
2025-06-16,2025-06-16 17:22:48,Zone_B,18,Mid,40.8,pallet_rack,24,,High,17,Monday,13,78.2,False,False,2,none,1.7,10.3,96.42
2025-02-03,2025-02-03 20:29:54,Zone_A,36,High,5.0,cold_storage,0,6.0,Low,20,Monday,19,590.8,True,False,2,cold_gear,16.8,3.4,59.91
2025-12-25,2025-12-25 18:25:49,Zone_C,41,Floor,312.4,pallet_rack,11,7.0,High,18,Thursday,1,108.8,True,False,4,none,3.7,0.5,123.23
2025-03-26,2025-03-26 17:34:09,Zone_D,20,High,420.8,cold_storage,13,10.0,Low,17,Wednesday,6,32.1,True,False,1,cold_gear,2.6,6.4,171.63
2025-09-24,2025-09-24 14:40:55,Zone_D,46,Floor,363.9,cold_storage,12,9.0,Medium,14,Wednesday,5,635.1,False,False,4,cold_gear,0.2,0.4,198.37
2025-11-07,2025-11-07 07:07:44,Zone_A,47,Mid,65.2,cold_storage,21,18.0,Medium,7,Friday,29,30.0,False,False,2,cold_gear,3.0,10.8,126.31
2025-12-06,2025-12-06 19:55:48,Zone_B,37,Mid,146.4,pallet_rack,13,12.0,Low,19,Saturday,5,49.1,False,False,3,none,12.0,1.1,57.36
2025-05-20,2025-05-20 14:42:52,Zone_D,16,Floor,379.7,bulk_floor,21,11.0,Medium,14,Tuesday,18,266.9,False,False,1,none,1.5,1.1,107.18
2025-06-11,2025-06-11 18:01:41,Zone_A,10,Mid,75.9,pallet_rack,16,17.0,High,18,Wednesday,20,11.9,False,False,1,none,6.1,0.6,73.43
2025-12-30,2025-12-30 11:31:53,Zone_D,15,Floor,463.8,pallet_rack,13,6.0,High,11,Tuesday,56,20.5,False,False,3,none,3.0,10.1,161.64
2025-03-15,2025-03-15 23:40:29,Zone_A,24,Floor,71.9,pallet_rack,7,0.0,Medium,23,Saturday,5,249.3,False,False,6,hazmat_suit,1.8,3.7,102.72
2025-01-08,2025-01-08 17:47:44,Zone_B,11,Mid,177.5,pallet_rack,21,4.0,High,17,Wednesday,4,510.6,False,False,2,none,15.8,4.9,87.21
2025-11-12,2025-11-12 18:07:44,Zone_B,6,Mid,157.2,cold_storage,22,12.0,Medium,18,Wednesday,7,92.5,False,False,4,cold_gear,9.2,7.2,136.06
2025-07-12,2025-07-12 08:01:05,Zone_D,7,Floor,385.2,bulk_floor,14,11.0,Low,8,Saturday,2,241.8,False,,3,none,15.3,7.7,98.29
2025-08-12,2025-08-12 21:33:45,Zone_A,36,Mid,54.0,hazmat,2,,Low,21,Tuesday,24,18.2,True,True,3,hazmat_suit,7.5,9.1,83.47
2025-03-11,2025-03-11 08:01:47,Zone_A,40,Floor,146.1,pallet_rack,19,7.0,Medium,8,Tuesday,28,165.7,False,False,2,cold_gear,1.2,11.6,105.3
2025-04-16,2025-04-16 11:00:04,Zone_D,30,High,417.3,pallet_rack,9,7.0,High,11,Wednesday,8,22.4,True,True,1,none,2.1,2.7,161.83
2025-02-28,2025-02-28 08:43:34,Zone_D,44,High,366.0,cold_storage,7,7.0,Medium,8,Friday,21,65.6,True,False,1,cold_gear,2.7,5.6,141.05
2025-04-23,2025-04-23 10:45:59,Zone_A,34,Mid,66.6,bulk_floor,25,10.0,Medium,10,Wednesday,9,55.2,False,False,3,none,8.0,8.6,88.85
2025-02-18,2025-02-18 14:16:25,Zone_D,27,Floor,476.5,pallet_rack,0,2.0,,14,Tuesday,1,22.1,False,False,1,none,4.1,8.1,60.07
2025-08-14,2025-08-14 12:39:43,Zone_B,22,Floor,165.5,pallet_rack,11,0.0,Medium,12,Thursday,28,291.2,False,False,5,none,8.9,0.9,68.63
2025-01-24,2025-01-24 17:59:01,Zone_B,8,Mid,121.4,pallet_rack,15,11.0,High,17,Friday,2,9.2,False,True,2,none,1.9,9.1,108.93
2025-11-03,2025-11-03 19:06:35,Zone_D,17,Floor,363.5,pallet_rack,0,0.0,Low,19,Monday,3,27.1,False,,4,none,8.7,7.3,79.07
2025-03-03,2025-03-03 23:02:25,Zone_D,13,High,343.6,cold_storage,5,2.0,Low,23,Monday,18,79.4,True,False,3,none,1.2,7.7,111.96
2025-05-31,2025-05-31 14:16:09,Zone_C,47,High,238.6,cold_storage,10,13.0,High,14,Saturday,12,184.6,True,True,2,cold_gear,7.9,4.9,165.87
2025-04-30,2025-04-30 13:39:53,Zone_A,46,Floor,77.0,pallet_rack,1,11.0,Low,13,Wednesday,1,350.8,False,False,3,none,2.9,1.5,42.36
2025-07-16,2025-07-16 20:00:53,Zone_B,26,Mid,125.2,pallet_rack,18,7.0,Medium,20,Wednesday,10,45.8,False,False,5,none,3.1,3.9,111.52
2025-06-11,2025-06-11 21:28:48,Zone_C,3,Floor,293.9,bulk_floor,6,3.0,Low,21,Wednesday,1,279.0,False,False,5,none,0.2,11.0,104.91
2025-01-31,2025-01-31 01:59:33,Zone_C,32,Mid,228.6,bulk_floor,5,1.0,,1,Friday,16,96.9,False,False,1,none,8.4,10.9,65.62
2025-03-12,2025-03-12 08:18:55,Zone_B,16,Mid,129.1,pallet_rack,16,12.0,High,8,Wednesday,3,74.4,False,False,4,none,10.8,11.3,116.86
2025-10-16,2025-10-16 02:41:52,Zone_B,41,Floor,237.0,bulk_floor,26,16.0,Medium,2,Thursday,14,33.4,False,False,2,none,5.3,10.8,116.44
2025-04-24,2025-04-24 16:29:43,Zone_D,40,Floor,444.5,pallet_rack,5,0.0,Medium,16,Thursday,12,57.1,False,False,5,none,5.6,5.7,94.51
2025-04-22,2025-04-22 14:26:10,Zone_A,6,Floor,48.9,bulk_floor,26,13.0,High,14,Tuesday,49,24.5,False,False,2,none,0.1,5.2,82.47
2025-01-02,2025-01-02 09:10:27,Zone_C,33,Mid,336.9,pallet_rack,9,4.0,Low,9,Thursday,19,39.9,False,False,6,none,1.7,7.6,99.68
2025-02-18,2025-02-18 10:11:58,Zone_B,33,Mid,117.3,pallet_rack,28,18.0,Medium,10,Tuesday,2,70.8,False,True,3,cold_gear,0.5,11.2,139.62
2025-02-10,2025-02-10 07:24:19,Zone_C,16,Floor,323.9,pallet_rack,15,9.0,Low,7,Monday,3,42.4,False,False,4,none,0.1,9.5,96.95
2025-12-26,2025-12-26 21:52:40,Zone_A,16,High,5.0,hazmat,14,19.0,Low,21,Friday,65,16.5,True,False,2,hazmat_suit,2.0,2.1,125.07
2025-01-23,2025-01-23 08:55:29,Zone_B,39,Mid,110.5,bulk_floor,13,3.0,High,8,Thursday,3,105.0,False,False,6,none,2.4,7.8,132.13
2025-05-30,2025-05-30 02:49:38,Zone_D,24,Floor,391.9,pallet_rack,17,12.0,High,2,Friday,43,729.7,False,False,2,none,0.4,6.5,151.06
2025-07-09,2025-07-09 18:15:03,Zone_C,14,Floor,307.7,bulk_floor,12,2.0,Medium,18,Wednesday,1,160.9,False,True,1,none,6.7,10.1,65.33
2025-09-29,2025-09-29 22:30:03,Zone_B,6,Floor,117.7,pallet_rack,27,12.0,High,22,Monday,37,2466.5,True,False,1,none,4.2,9.2,119.5
2025-02-26,2025-02-26 00:43:26,Zone_B,19,Floor,159.3,bulk_floor,20,14.0,High,0,Wednesday,40,21.6,False,True,1,none,1.1,8.9,98.44
2025-08-21,2025-08-21 09:57:16,Zone_C,15,Floor,203.7,pallet_rack,18,17.0,Medium,9,Thursday,2,750.4,False,False,1,none,3.5,1.1,115.33
2025-01-20,2025-01-20 16:06:23,Zone_A,7,Mid,5.0,bulk_floor,17,12.0,Medium,16,Monday,10,114.2,False,False,1,none,1.1,5.5,47.64
2025-02-08,2025-02-08 00:33:33,Zone_C,27,Floor,247.1,pallet_rack,12,6.0,Low,0,Saturday,11,83.7,True,False,1,none,3.5,11.1,85.33
2025-04-19,2025-04-19 08:15:04,Zone_B,19,Mid,129.8,cold_storage,11,2.0,Medium,8,Saturday,1,118.3,False,True,3,cold_gear,4.7,3.0,114.42
2025-09-24,2025-09-24 01:28:54,Zone_A,18,Mid,168.2,pallet_rack,15,5.0,Medium,1,Wednesday,4,185.7,False,False,2,none,2.4,6.6,68.47
2025-02-04,2025-02-04 03:49:50,Zone_A,14,High,114.3,cold_storage,10,2.0,Medium,3,Tuesday,10,400.1,True,True,1,cold_gear,0.1,1.3,111.04
2025-10-20,2025-10-20 17:46:41,Zone_C,22,Mid,253.1,pallet_rack,0,1.0,Medium,17,Monday,2,100.7,False,False,1,none,4.8,1.5,48.21
2025-07-07,2025-07-07 23:19:01,Zone_A,44,Floor,64.4,pallet_rack,9,4.0,Low,23,Monday,6,6.3,False,False,5,none,2.9,5.6,63.24
2025-08-07,2025-08-07 18:50:30,Zone_B,42,High,66.9,pallet_rack,30,19.0,High,18,Thursday,8,159.0,True,False,1,none,4.8,10.2,188.15
2025-12-26,2025-12-26 06:43:54,Zone_C,41,Mid,286.9,bulk_floor,25,12.0,High,6,Friday,21,96.0,False,False,1,none,12.5,7.3,103.5
2025-09-24,2025-09-24 08:42:30,Zone_D,16,High,409.0,pallet_rack,16,5.0,Low,8,Wednesday,60,31.2,True,False,3,none,7.3,3.8,122.3
2025-11-11,2025-11-11 22:30:28,Zone_B,40,Mid,186.7,bulk_floor,23,15.0,Low,22,Tuesday,26,57.9,False,False,2,none,5.3,9.7,102.04
2025-05-01,2025-05-01 06:02:47,Zone_A,37,Mid,89.6,pallet_rack,13,9.0,Medium,6,Thursday,7,12.4,False,False,2,none,12.1,9.2,56.62
2025-12-13,2025-12-13 18:08:41,Zone_C,11,Mid,377.9,pallet_rack,16,11.0,Medium,18,Saturday,11,20.2,False,False,1,none,1.8,6.0,96.39
2025-01-28,2025-01-28 10:59:56,Zone_D,7,Mid,369.1,bulk_floor,18,16.0,High,10,Tuesday,4,153.3,False,False,3,none,3.9,7.8,182.59
2025-10-27,2025-10-27 16:40:52,Zone_C,4,Mid,282.4,bulk_floor,15,4.0,Medium,16,Monday,8,34.7,True,True,1,none,15.5,5.8,70.32
2025-05-04,2025-05-04 13:17:26,Zone_C,21,Mid,307.3,pallet_rack,28,9.0,High,13,Sunday,11,105.3,False,False,1,none,3.3,7.4,133.96
2025-06-02,2025-06-02 03:35:41,Zone_A,29,Floor,44.6,pallet_rack,3,3.0,High,3,Monday,30,38.4,False,False,1,none,5.8,2.7,38.69
2025-10-25,2025-10-25 10:38:30,Zone_B,8,Floor,123.0,pallet_rack,13,4.0,Medium,10,Saturday,15,214.0,False,False,1,none,5.3,5.4,51.41
2025-07-18,2025-07-18 18:41:02,Zone_D,31,Floor,387.4,pallet_rack,15,10.0,Low,18,Friday,6,106.5,False,False,1,none,14.6,9.1,73.55
2025-05-10,2025-05-10 21:58:14,Zone_D,16,Floor,324.0,bulk_floor,12,6.0,Medium,21,Saturday,4,36.7,False,False,5,none,16.0,9.8,97.99
2025-01-27,2025-01-27 16:20:14,Zone_D,23,High,419.7,bulk_floor,9,7.0,High,16,Monday,12,27.5,True,False,6,none,3.8,3.4,139.41
2025-02-04,2025-02-04 18:13:10,Zone_C,12,Floor,318.4,cold_storage,6,7.0,Low,18,Tuesday,9,381.5,False,True,1,cold_gear,1.5,11.2,112.03
2025-12-05,2025-12-05 21:55:47,Zone_A,5,Mid,86.8,bulk_floor,7,0.0,High,21,Friday,36,109.3,False,False,1,none,0.2,0.8,63.28
2025-12-22,2025-12-22 08:26:42,Zone_C,41,High,301.6,bulk_floor,0,0.0,Medium,8,Monday,4,145.7,True,False,6,none,2.1,5.2,91.29
2025-04-23,2025-04-23 11:36:51,Zone_B,9,Floor,145.8,pallet_rack,2,1.0,Low,11,Wednesday,3,235.4,False,False,3,none,2.9,1.4,38.9
2025-12-15,2025-12-15 08:01:12,Zone_C,40,Mid,257.9,pallet_rack,1,3.0,Low,8,Monday,1,566.3,False,False,1,none,6.8,4.0,46.46
2025-11-05,2025-11-05 17:32:11,Zone_A,3,High,28.1,bulk_floor,11,4.0,Low,17,Wednesday,21,39.3,True,False,9,none,7.3,2.5,101.96
2025-06-17,2025-06-17 10:22:08,Zone_B,33,Floor,149.4,bulk_floor,12,2.0,High,10,Tuesday,27,59.5,False,False,1,none,8.8,2.2,55.12
2025-10-31,2025-10-31 10:42:42,Zone_C,17,Floor,270.3,hazmat,13,4.0,Low,10,Friday,12,310.4,True,True,1,hazmat_suit,0.6,0.0,129.89
2025-08-18,2025-08-18 09:43:37,Zone_D,38,Floor,346.3,pallet_rack,13,5.0,Low,9,Monday,3,139.5,False,False,1,none,2.7,9.0,81.63
2025-06-24,2025-06-24 15:20:19,Zone_A,7,Floor,5.0,bulk_floor,29,14.0,Medium,15,Tuesday,1,623.2,True,False,8,none,2.8,6.4,183.88
2025-03-17,2025-03-17 19:39:21,Zone_D,18,Floor,339.0,cold_storage,21,10.0,Low,19,Monday,39,212.4,False,False,2,cold_gear,4.5,5.4,145.38
2025-08-18,2025-08-18 03:50:29,Zone_C,5,Floor,233.7,pallet_rack,10,0.0,High,3,Monday,3,181.1,False,False,4,none,2.6,4.0,100.62
2025-01-02,2025-01-02 02:37:25,Zone_B,44,Mid,79.1,pallet_rack,21,7.0,Medium,2,Thursday,92,29.4,True,False,3,none,6.5,11.1,95.0
2025-04-28,2025-04-28 03:15:50,Zone_B,25,Floor,236.2,pallet_rack,23,15.0,Medium,3,Monday,8,149.7,True,False,6,none,4.4,7.4,149.19
2025-09-01,2025-09-01 10:08:01,Zone_A,31,Mid,5.0,hazmat,10,2.0,Low,10,Monday,10,380.4,True,True,6,hazmat_suit,6.9,7.1,125.72
2025-05-25,2025-05-25 19:04:09,Zone_A,14,Floor,18.1,pallet_rack,17,7.0,High,19,Sunday,50,152.9,False,False,2,none,1.0,2.7,82.51
2025-02-24,2025-02-24 09:30:34,Zone_D,30,Mid,497.3,hazmat,16,7.0,High,9,Monday,3,366.3,True,False,1,hazmat_suit,7.3,10.3,249.42
2025-04-22,2025-04-22 19:22:22,Zone_C,20,Floor,263.8,bulk_floor,0,3.0,Medium,19,Tuesday,31,54.3,False,False,2,none,1.9,0.5,56.24
2025-01-01,2025-01-01 19:03:51,Zone_C,43,Floor,252.2,pallet_rack,22,15.0,High,19,Wednesday,2,17.9,False,False,5,none,5.9,7.7,166.9
2025-12-31,2025-12-31 15:24:07,Zone_D,28,Mid,323.6,pallet_rack,19,15.0,High,15,Wednesday,2,133.3,False,False,4,hazmat_suit,2.6,5.9,219.22
2025-10-28,2025-10-28 15:51:54,Zone_C,38,Floor,256.6,bulk_floor,17,9.0,High,15,Tuesday,16,426.8,False,False,1,none,7.0,7.2,105.27
2025-06-06,2025-06-06 22:27:32,Zone_B,5,Mid,151.2,cold_storage,1,5.0,Low,22,Friday,2,393.9,False,True,8,none,0.3,10.2,152.28
2025-11-18,2025-11-18 19:28:39,Zone_A,38,Mid,132.4,pallet_rack,23,13.0,Medium,19,Tuesday,11,77.0,False,False,3,none,8.7,8.6,101.12
2025-01-20,2025-01-20 08:57:46,Zone_D,16,Floor,346.4,cold_storage,16,17.0,Low,8,Monday,6,69.5,False,False,2,cold_gear,2.7,10.5,180.91
2025-08-31,2025-08-31 21:35:25,Zone_A,9,Mid,56.2,cold_storage,9,4.0,High,21,Sunday,7,121.1,False,False,1,cold_gear,1.0,4.6,85.19
2025-08-10,2025-08-10 16:10:59,Zone_B,1,Floor,183.3,bulk_floor,16,7.0,Low,16,Sunday,9,166.6,False,False,4,none,9.8,5.6,73.8
2025-01-10,2025-01-10 07:51:07,Zone_B,32,Floor,133.4,bulk_floor,18,7.0,High,7,Friday,39,17.7,False,False,1,none,1.3,4.2,84.29
2025-04-22,2025-04-22 02:46:25,Zone_D,7,High,395.0,pallet_rack,4,0.0,Medium,2,Tuesday,9,42.1,True,False,2,none,10.8,4.5,71.18
2025-11-07,2025-11-07 20:58:34,Zone_A,3,Mid,23.0,pallet_rack,15,6.0,High,20,Friday,4,176.3,True,False,9,none,0.9,3.3,209.29
2025-08-08,2025-08-08 16:16:50,Zone_A,43,Mid,125.8,pallet_rack,23,11.0,High,16,Friday,3,37.8,False,False,1,none,1.2,11.8,88.2
2025-05-02,2025-05-02 12:33:02,Zone_B,46,Floor,118.4,pallet_rack,15,11.0,Medium,12,Friday,23,16.4,True,False,1,none,3.1,3.8,40.87
2025-05-12,2025-05-12 18:01:08,Zone_D,22,High,294.8,pallet_rack,32,16.0,High,18,Monday,23,34.5,True,False,1,none,18.7,10.3,159.53
2025-03-05,2025-03-05 18:42:36,Zone_D,39,Mid,430.0,cold_storage,21,15.0,Low,18,Wednesday,38,23.1,True,True,1,cold_gear,1.3,4.0,251.8
2025-10-08,2025-10-08 16:32:38,Zone_A,34,Floor,5.7,pallet_rack,20,10.0,High,16,Wednesday,17,79.6,False,False,4,none,2.8,9.3,101.63
2025-06-09,2025-06-09 01:43:07,Zone_B,8,Floor,183.8,pallet_rack,9,2.0,Medium,1,Monday,32,31.3,False,False,1,none,2.3,8.6,47.9
2025-04-07,2025-04-07 09:17:32,Zone_A,12,Floor,44.2,bulk_floor,9,0.0,Low,9,Monday,8,124.1,False,False,3,none,5.8,9.2,45.26
2025-01-19,2025-01-19 20:27:13,Zone_D,49,Mid,423.3,bulk_floor,21,14.0,Medium,20,Sunday,5,98.6,False,False,1,none,10.9,5.4,111.33
2025-11-22,2025-11-22 01:02:33,Zone_B,6,Mid,186.3,cold_storage,19,17.0,Low,1,Saturday,5,123.4,False,False,2,cold_gear,4.9,3.1,158.88
2025-12-22,2025-12-22 09:25:55,Zone_C,31,High,284.4,hazmat,8,6.0,Medium,9,Monday,15,21.0,True,False,7,none,0.6,6.0,170.15
2025-01-15,2025-01-15 18:57:20,Zone_B,25,High,212.6,bulk_floor,24,8.0,High,18,Wednesday,31,43.7,True,False,1,none,17.8,9.5,146.76
2025-01-29,2025-01-29 15:04:16,Zone_C,25,Floor,282.5,pallet_rack,9,16.0,Low,15,Wednesday,58,177.6,False,False,3,none,3.0,9.3,102.83
2025-04-07,2025-04-07 16:35:32,Zone_D,16,Floor,354.5,bulk_floor,16,13.0,High,16,Monday,16,109.9,False,False,6,none,10.3,7.6,165.14
2025-04-18,2025-04-18 20:44:09,Zone_A,1,Floor,23.9,bulk_floor,14,9.0,High,20,Friday,25,61.2,False,False,1,none,0.1,8.8,54.61
2025-03-14,2025-03-14 16:46:38,Zone_B,11,Mid,195.5,bulk_floor,15,9.0,Medium,16,Friday,23,26.5,True,False,1,none,6.7,6.2,71.86
2025-01-13,2025-01-13 17:53:39,Zone_C,46,Floor,354.4,cold_storage,22,18.0,Medium,17,Monday,9,280.8,False,False,1,cold_gear,0.6,3.5,189.4
2025-10-20,2025-10-20 08:15:52,Zone_B,5,Floor,175.9,hazmat,19,18.0,Medium,8,Monday,34,154.9,True,True,1,hazmat_suit,0.5,8.0,184.09
2025-06-16,2025-06-16 08:41:05,Zone_A,26,Mid,41.4,pallet_rack,16,7.0,Low,8,Monday,39,78.9,False,False,2,none,16.8,0.9,43.45
2025-05-16,2025-05-16 23:26:29,Zone_D,9,High,363.8,pallet_rack,10,8.0,Low,23,Friday,29,485.6,True,False,1,none,25.0,11.6,80.87
2025-07-11,2025-07-11 04:35:53,Zone_B,46,Floor,171.2,bulk_floor,5,9.0,Medium,4,Friday,5,98.9,False,False,5,none,6.2,0.4,74.14
2025-05-26,2025-05-26 17:18:12,Zone_B,46,High,175.7,pallet_rack,16,15.0,High,17,Monday,9,777.5,True,False,4,none,7.9,9.1,159.34
2025-08-25,2025-08-25 16:00:06,Zone_A,20,High,5.0,pallet_rack,4,0.0,High,16,Monday,25,72.2,True,False,1,none,0.8,6.1,48.46
2025-12-31,2025-12-31 17:11:16,Zone_A,30,Floor,61.7,pallet_rack,7,3.0,Low,17,Wednesday,1,62.2,True,False,2,none,4.0,9.4,37.63
2025-02-25,2025-02-25 15:37:12,Zone_B,8,Floor,214.8,bulk_floor,5,9.0,Low,15,Tuesday,19,709.0,False,False,2,none,2.8,0.8,65.76
2025-12-26,2025-12-26 03:26:39,Zone_A,29,Floor,16.0,pallet_rack,13,8.0,High,3,Friday,37,98.2,False,False,1,none,1.0,7.8,51.03
2025-08-06,2025-08-06 22:19:24,Zone_B,42,Floor,148.2,pallet_rack,6,0.0,Medium,22,Wednesday,6,479.2,False,False,1,none,4.0,11.9,37.66
2025-11-11,2025-11-11 16:02:18,Zone_B,9,Mid,236.7,cold_storage,10,8.0,Medium,16,Tuesday,14,273.3,False,False,1,cold_gear,12.6,4.5,110.97
